Timestamp,Runtime (s),Pitch,Roll,Yaw,Temp,Alt,Battery
2025-04-29 10:37:07.215,0.63,-16.78,-71.11,477.51,28.36,0.29,3.36
2025-04-29 10:37:07.793,1.20,-16.62,-71.39,490.1,28.37,0.28,3.29
2025-04-29 10:37:08.332,1.74,-16.57,-71.38,498.68,28.38,0.28,3.34
2025-04-29 10:37:08.834,2.24,-16.59,-71.39,507.21,28.39,0.27,3.35
2025-04-29 10:37:09.414,2.82,-16.6,-71.43,515.72,28.39,0.28,3.34
2025-04-29 10:37:09.943,3.35,-16.65,-71.3,524.29,28.4,0.25,3.35
2025-04-29 10:37:10.524,3.93,-16.79,-71.16,537.25,28.4,0.24,3.32
2025-04-29 10:37:11.035,4.45,-8.73,-66.93,547.09,28.41,0.24,3.34
2025-04-29 10:37:11.548,4.96,-11.72,-34.03,548.52,28.41,0.25,3.36
2025-04-29 10:37:12.109,5.52,-27.87,-18.1,561.68,28.42,0.28,3.34
2025-04-29 10:37:12.753,6.16,-25.05,-11.42,571.39,28.42,0.26,3.35
2025-04-29 10:37:13.298,6.71,-26.53,-9.25,582.56,28.42,0.24,3.34
2025-04-29 10:37:13.864,7.27,-28.2,-1.69,592.4,28.42,0.24,3.35
2025-04-29 10:37:14.418,7.83,-27.3,-1.82,601.35,28.43,0.23,3.35
2025-04-29 10:37:14.986,8.40,-21.09,-2.21,610.65,28.43,0.23,3.35
2025-04-29 10:37:15.542,8.95,-20.21,-2.02,623.55,28.44,0.23,3.42
2025-04-29 10:37:16.097,9.51,-19.65,-12.3,622.88,28.44,0.2,3.34
2025-04-29 10:37:16.597,10.01,-23.71,11.08,644.62,28.46,0.21,3.34
2025-04-29 10:37:17.141,10.55,-11.67,-14.69,666.17,28.45,0.22,3.37
2025-04-29 10:37:17.699,11.11,-11.26,-11.78,688.78,28.45,0.23,3.35
2025-04-29 10:37:18.254,11.66,-28.95,-7.13,715.28,28.45,0.2,3.33
2025-04-29 10:37:18.816,12.23,-6.46,-19.12,720.88,28.47,0.22,3.35
2025-04-29 10:37:19.378,12.79,-14.24,-20.74,736.34,28.48,0.19,3.35
2025-04-29 10:37:19.937,13.35,-11.48,-18.91,746.51,28.5,0.17,3.34
2025-04-29 10:37:20.499,13.91,-12.07,-16.51,755.54,28.5,0.2,3.34
2025-04-29 10:37:21.059,14.47,-14.2,-13.57,768.5,28.52,0.2,3.35
2025-04-29 10:37:21.587,15.00,-11.39,-16.53,775.92,28.52,0.18,3.3
2025-04-29 10:37:22.095,15.51,-14.62,-16.61,785.14,28.52,0.18,3.28
2025-04-29 10:37:22.655,16.07,-25.42,-15.11,798.35,28.53,0.16,3.35
2025-04-29 10:37:23.277,16.69,-24.22,-15.51,807.35,28.54,0.18,3.29
2025-04-29 10:37:23.783,17.19,-17.81,-14.18,813.58,28.57,0.15,3.34
2025-04-29 10:37:24.336,17.75,-10.44,-12.84,827.06,28.66,0.11,3.35
2025-04-29 10:37:24.895,18.31,-11.26,-11.03,836.04,28.73,0.08,3.34
2025-04-29 10:37:25.459,18.87,-14.47,-10.32,843.18,28.8,-0.02,3.33
2025-04-29 10:37:26.020,19.43,-24.3,-8.49,853.37,28.89,-0.06,3.46
2025-04-29 10:37:26.571,19.98,-25.2,-9.83,866.37,28.95,-0.08,3.46
2025-04-29 10:37:27.134,20.54,-24.34,-10.41,874.51,29.0,-0.09,3.46
2025-04-29 10:37:27.694,21.10,-24.01,-10.61,882.89,29.05,-0.11,3.46
2025-04-29 10:37:28.253,21.66,-23.49,-10.76,891.16,29.1,-0.13,3.47
2025-04-29 10:37:28.813,22.22,-23.41,-10.89,903.89,29.14,-0.13,3.46
2025-04-29 10:37:29.373,22.78,-23.43,-11.12,912.34,29.19,-0.14,3.47
2025-04-29 10:37:29.934,23.34,-23.48,-11.03,920.94,29.23,-0.15,3.46
2025-04-29 10:37:30.489,23.90,-23.22,-11.16,929.47,29.26,-0.15,3.47
2025-04-29 10:37:31.056,24.47,-23.14,-10.91,938.04,29.3,-0.16,3.47
2025-04-29 10:37:31.611,25.02,-22.99,-11.01,950.89,29.35,-0.18,3.47
2025-04-29 10:37:32.148,25.56,-22.69,-11.18,959.34,29.39,-0.18,3.47
2025-04-29 10:37:32.650,26.06,-22.69,-11.0,967.91,29.42,-0.23,3.47
2025-04-29 10:37:33.209,26.62,-23.12,-10.79,976.7,29.47,-0.26,3.47
2025-04-29 10:37:33.775,27.19,-22.97,-10.94,985.27,29.49,-0.28,3.47
2025-04-29 10:37:34.339,27.75,-22.9,-10.88,998.21,29.53,-0.3,3.47
2025-04-29 10:37:34.894,28.31,-22.84,-10.83,1006.78,29.57,-0.31,3.47
2025-04-29 10:37:35.430,28.84,-22.63,-10.73,1015.42,29.6,-0.26,3.47
2025-04-29 10:37:35.933,29.34,-66.75,-1.38,1047.65,29.62,-0.28,3.47
2025-04-29 10:37:36.492,29.90,-166.97,32.61,1086.78,29.61,-0.32,3.47
2025-04-29 10:37:37.047,30.46,178.81,25.44,1109.41,29.6,-0.33,3.47
2025-04-29 10:37:37.571,30.98,-176.0,13.76,1114.68,29.58,-0.36,3.47
2025-04-29 10:37:38.148,31.56,-174.02,4.9,1118.72,29.57,-0.37,3.48
2025-04-29 10:37:38.657,32.07,-174.72,5.35,1125.37,29.55,-0.41,3.47
2025-04-29 10:37:39.234,32.64,-170.12,8.95,1130.1,29.53,-0.41,4.68
2025-04-29 10:37:39.873,33.28,-167.44,18.39,1139.52,29.51,-0.42,4.66
2025-04-29 10:37:40.416,33.83,-167.14,25.64,1162.24,29.49,-0.44,4.66
2025-04-29 10:37:41.004,34.41,-172.84,24.36,1174.74,29.48,-0.47,4.61
2025-04-29 10:37:41.508,34.92,177.94,27.5,1183.63,29.46,-0.46,4.63
2025-04-29 10:37:42.061,35.47,178.42,-0.33,1195.53,29.44,-0.47,3.42
2025-04-29 10:37:42.614,36.02,-177.29,3.44,1213.81,29.39,-0.49,3.47
2025-04-29 10:37:43.168,36.58,-154.51,28.14,1209.39,29.38,-0.53,3.45
2025-04-29 10:37:43.733,37.14,-104.38,7.6,1190.38,29.38,-0.53,3.47
2025-04-29 10:37:44.282,37.69,-101.17,3.63,1199.06,29.39,-0.54,3.47
2025-04-29 10:37:44.817,38.23,-101.21,3.55,1207.61,29.39,-0.6,3.48
2025-04-29 10:37:45.335,38.75,-101.23,3.57,1220.44,29.4,-0.6,3.48
2025-04-29 10:37:45.888,39.30,-101.14,3.66,1229.0,29.4,-0.58,3.48
2025-04-29 10:37:46.452,39.86,-101.2,3.5,1237.6,29.41,-0.59,3.48
2025-04-29 10:37:47.010,40.42,-101.18,3.53,1246.15,29.41,-0.61,3.47
2025-04-29 10:37:47.565,40.98,-101.12,3.54,1254.73,29.41,-0.59,3.47
2025-04-29 10:37:48.121,41.53,-101.11,3.6,1267.55,29.4,-0.61,3.47
2025-04-29 10:37:48.685,42.10,-101.23,3.45,1276.12,29.41,-0.61,3.47
2025-04-29 10:37:49.247,42.66,-101.15,3.51,1284.67,29.41,-0.61,3.48
2025-04-29 10:37:49.799,43.21,-101.1,3.56,1293.22,29.4,-0.59,3.47
2025-04-29 10:37:50.360,43.77,-101.13,3.58,1306.07,29.41,-0.58,3.48
2025-04-29 10:37:50.923,44.33,-101.19,3.54,1314.62,29.41,-0.59,3.47
2025-04-29 10:37:51.531,44.94,-101.11,3.68,1323.14,29.42,-0.58,3.48
2025-04-29 10:37:52.044,45.45,-101.05,3.55,1331.73,29.42,-0.6,3.47
2025-04-29 10:37:52.605,46.02,-101.17,3.45,1344.56,29.42,-0.59,3.48
2025-04-29 10:37:53.163,46.57,-101.13,3.56,1353.07,29.42,-0.61,3.5
2025-04-29 10:37:53.727,47.14,-101.09,3.54,1361.67,29.42,-0.63,3.47
2025-04-29 10:37:54.285,47.70,-101.09,3.6,1370.22,29.42,-0.65,3.47
2025-04-29 10:37:54.845,48.26,-101.14,3.52,1378.77,29.42,-0.63,3.47
2025-04-29 10:37:55.401,48.81,-101.15,3.56,1391.6,29.42,-0.62,3.48
2025-04-29 10:37:55.959,49.37,-101.09,3.61,1400.17,29.43,-0.61,3.48
2025-04-29 10:37:56.522,49.93,-101.1,3.52,1408.71,29.43,-0.61,3.48
2025-04-29 10:37:57.077,50.49,-101.13,3.6,1417.28,29.43,-0.61,3.48
2025-04-29 10:37:57.638,51.05,-101.0,3.64,1430.13,29.43,-0.6,3.47
2025-04-29 10:37:58.201,51.61,-101.12,3.58,1438.71,29.44,-0.59,3.48
2025-04-29 10:37:58.803,52.21,-101.1,3.56,1447.25,29.44,-0.57,3.48
