Timestamp,Runtime (s),Pitch,Roll,Yaw,Temp,Alt,Battery
2025-04-29 10:31:14.002,0.52,93.3,3.65,37.43,23.53,0.66,4.67
2025-04-29 10:31:14.554,1.07,93.23,3.61,37.97,23.54,0.66,4.68
2025-04-29 10:31:15.113,1.63,93.27,3.63,38.53,23.54,0.69,4.67
2025-04-29 10:31:15.732,2.25,93.37,3.6,39.38,23.54,0.66,4.67
2025-04-29 10:31:16.314,2.83,93.21,3.61,39.95,23.55,0.58,4.65
2025-04-29 10:31:16.845,3.36,93.3,3.63,40.51,23.56,0.6,4.65
2025-04-29 10:31:17.354,3.87,93.37,3.37,41.01,23.55,0.56,4.64
2025-04-29 10:31:17.933,4.45,135.82,-5.74,59.55,23.56,0.54,4.66
2025-04-29 10:31:18.478,5.00,-167.15,2.34,129.69,23.55,0.59,4.65
2025-04-29 10:31:19.037,5.55,-169.89,-0.59,143.7,23.57,0.6,4.62
2025-04-29 10:31:19.592,6.11,-173.62,33.95,93.86,23.56,0.62,4.67
2025-04-29 10:31:20.153,6.67,-86.68,10.15,42.19,23.57,0.63,4.66
2025-04-29 10:31:20.715,7.23,-16.79,-13.61,45.09,23.57,0.66,4.63
2025-04-29 10:31:21.278,7.80,-22.92,0.77,48.17,23.58,0.68,4.67
2025-04-29 10:31:21.839,8.36,-18.19,2.96,50.09,23.59,0.71,4.65
2025-04-29 10:31:22.398,8.92,-20.58,2.12,43.78,23.59,0.73,4.66
2025-04-29 10:31:22.951,9.47,-20.38,4.03,45.96,23.59,0.75,4.66
2025-04-29 10:31:23.510,10.03,-22.83,5.33,50.19,23.6,0.72,4.66
2025-04-29 10:31:24.073,10.59,-22.99,5.62,52.27,23.61,0.69,4.68
2025-04-29 10:31:24.629,11.15,-25.33,6.23,52.78,23.62,0.75,4.65
2025-04-29 10:31:25.190,11.71,-39.22,4.38,50.63,23.62,0.74,4.67
2025-04-29 10:31:25.713,12.23,-70.51,-5.42,37.46,23.62,0.71,4.66
2025-04-29 10:31:26.271,12.79,-95.33,10.85,57.7,23.63,0.72,4.67
2025-04-29 10:31:26.827,13.34,-80.49,12.73,58.22,23.63,0.74,4.67
